Hélène,David,Biarritz,France,2018,Java
Michel,David,Biarritz,France,2019,JavaScript
David,Daniel,Biarritz,France,2019,Java
David,Leger,Bordeaux,France,2017,PHP
David,Dupuis,Bordeaux,France,2018,PHP
David,Masson,"La Loupe",France,2018,PHP
David,Guibert,"La Loupe",France,2019,JavaScript
Patricia,David,"La Loupe",France,2019,PHP
Emmanuel,David,Lille,France,2018,PHP
David,Mendes,Nantes,France,2019,Java
Sylvie,David,Reims,France,2017,PHP
Éléonore,David,Strasbourg,France,2017,Java
David,Ferreira,Strasbourg,France,2017,Java
David,Dupuis,Strasbourg,France,2019,PHP
David,Brunel,Tours,France,2019,Java
Zamfir,David,Bucharest,Romania,2018,Java
David,Nogueira,Lisbon,Portugal,2019,Java
David,Vergara,Madrid,Spain,2019,PHP
